ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
6.141,-0.135,0.0081,1.0239,0.2137,0.4656,0.7252
6.161,-0.1458,0.0024,1.0293,0.3282,0.4885,0.542
6.181,-0.1418,0.0076,1.03,0.1832,0.5802,0.5802
6.201,-0.1421,0.0063,1.0295,0.0916,0.5725,0.7481
6.221,-0.1455,0.0034,1.0293,0.1832,0.687,0.6947
6.241,-0.1394,0.0049,1.0239,0.229,0.4962,0.6183
6.261,-0.1436,0.0051,1.0291,0.2748,0.6641,0.626
6.281,-0.1414,0.0081,1.02,0.2901,0.6031,0.5878
6.301,-0.1414,0.0049,1.0251,0.229,0.5649,0.6794
6.321,-0.1418,0.0042,1.0293,0.2214,0.626,0.626
6.341,-0.1372,0.0061,1.0244,0.1679,0.5649,0.6412
6.361,-0.1484,0.0039,1.0229,0.1756,0.6031,0.6565
6.381,-0.1404,0.0078,1.0288,0.2214,0.5878,0.626
6.401,-0.1392,0.0076,1.021,0.2443,0.5038,0.6336
6.421,-0.1462,0.0042,1.0305,0.1908,0.5725,0.6641
6.441,-0.1406,0.0049,1.0264,0.3359,0.458,0.6641
6.461,-0.1445,0.0044,1.0251,0.1679,0.5725,0.6183
6.481,-0.1389,0.0061,1.0249,0.229,0.626,0.5802
6.501,-0.1394,0.0063,1.0259,0.2672,0.5954,0.7023
6.521,-0.1416,0.0061,1.0266,0.229,0.5802,0.5649
6.541,-0.1416,0.0088,1.0278,0.1985,0.6107,0.6641
6.561,-0.1477,0.0015,1.032,0.2824,0.4809,0.6031
6.581,-0.1399,0.0027,1.0286,0.2443,0.687,0.5954
6.601,-0.1443,0.0056,1.0222,0.1908,0.4962,0.5802
6.621,-0.1453,0.0044,1.0254,0.2748,0.626,0.542
6.641,-0.1414,0.0073,1.0269,0.3053,0.5954,0.626
6.661,-0.1431,0.0027,1.0249,0.2214,0.6794,0.7023
6.681,-0.1416,0.0081,1.0254,0.2595,0.4962,0.6794
6.701,-0.1428,0.0049,1.0254,0.1832,0.542,0.6565
6.721,-0.1462,0.0032,1.0242,0.1832,0.7328,0.5878
6.742,-0.1418,0.0044,1.0239,0.1908,0.4351,0.542
6.761,-0.1467,0.0063,1.0271,0.313,0.6336,0.5802
6.781,-0.1384,0.0049,1.0264,0.2443,0.5725,0.5878
6.801,-0.1431,0.0066,1.0247,0.2214,0.5725,0.6718
6.821,-0.1428,0.0029,1.0298,0.2137,0.6794,0.6336
6.841,-0.1399,0.0046,1.0261,0.2137,0.4275,0.687
6.861,-0.146,0.0017,1.0288,0.2137,0.6641,0.5573
6.881,-0.1418,0.0024,1.0261,0.2214,0.6107,0.6183
6.901,-0.1436,0.012,1.021,0.313,0.5191,0.6336
6.921,-0.1431,0.0066,1.031,0.2214,0.6412,0.6031
6.941,-0.1394,0.0081,1.0261,0.2214,0.4809,0.6412
6.961,-0.1475,0.0066,1.0266,0.1221,0.5649,0.6336
6.981,-0.1389,0.0042,1.0254,0.1374,0.6031,0.5725
7.001,-0.1399,0.0059,1.0273,0.2595,0.4275,0.6412
7.021,-0.1418,0.0029,1.0315,0.1603,0.6947,0.6336
7.041,-0.1431,0.0078,1.0239,0.2748,0.4427,0.626
7.061,-0.147,0.0039,1.0281,0.2519,0.6107,0.7405
7.081,-0.1404,0.0078,1.0254,0.2366,0.5725,0.687
7.101,-0.1426,0.0076,1.0298,0.1603,0.5496,0.6412
7.121,-0.1438,0.0059,1.0298,0.1908,0.7328,0.6794
7.141,-0.1404,0.0078,1.0254,0.1832,0.5344,0.7023
7.161,-0.1484,0.0059,1.0281,0.2214,0.5878,0.6412
7.181,-0.137,0.0051,1.0276,0.1603,0.5725,0.5649
7.201,-0.1389,0.0071,1.0288,0.2824,0.5802,0.6412
7.221,-0.1443,0.0037,1.022,0.2061,0.6412,0.7252
7.241,-0.1423,0.0056,1.0269,0.2061,0.4122,0.5649
7.261,-0.1436,0.0029,1.0283,0.2824,0.5344,0.6641
7.281,-0.1396,0.0088,1.0264,0.2366,0.6412,0.6336
7.301,-0.1421,0.0103,1.0283,0.2137,0.4809,0.5649
7.321,-0.1411,0.0061,1.0325,0.2137,0.6794,0.6718
7.341,-0.1379,0.0056,1.0227,0.1985,0.6031,0.5573
7.361,-0.1462,0.0066,1.0244,0.229,0.6107,0.6336
7.382,-0.1367,0.001,1.0251,0.3053,0.542,0.6336
7.401,-0.1406,0.0103,1.0269,0.1374,0.5267,0.626
7.421,-0.1411,0.0066,1.03,0.2214,0.6336,0.6031
7.441,-0.1362,0.0063,1.0293,0.1985,0.4962,0.7634
7.461,-0.1445,0.0022,1.0295,0.1756,0.6641,0.7099
7.481,-0.1428,0.0063,1.0229,0.2748,0.6794,0.7176
7.501,-0.1438,0.0063,1.0261,0.3206,0.4656,0.626
7.521,-0.1401,0.0042,1.0242,0.2366,0.6031,0.5954
7.541,-0.1396,0.0054,1.0244,0.2595,0.4733,0.626
7.561,-0.1453,0.0051,1.0352,0.1679,0.6412,0.6183
7.581,-0.1401,0.0024,1.0234,0.229,0.6412,0.6794
7.601,-0.1458,0.0078,1.0295,0.229,0.4427,0.6412
7.621,-0.1433,0.0076,1.0261,0.3053,0.6641,0.5191
7.641,-0.1406,0.0054,1.0234,0.229,0.5573,0.5649
7.661,-0.1472,0.0083,1.0237,0.1985,0.6489,0.626
7.681,-0.1392,0.0054,1.0303,0.1603,0.6107,0.6107
7.701,-0.1433,0.0059,1.03,0.2595,0.4733,0.687
7.721,-0.1436,0.002,1.0251,0.2672,0.6336,0.6947
7.741,-0.1357,0.0051,1.0237,0.2977,0.4198,0.5725
7.761,-0.146,0.0042,1.0264,0.1908,0.6718,0.6412
7.781,-0.1392,0.0027,1.0186,0.2214,0.6947,0.6565
7.801,-0.1411,0.002,1.0254,0.1603,0.4733,0.5344
7.821,-0.1436,0.0007,1.0242,0.1603,0.5878,0.5725
7.841,-0.1404,0.0068,1.0264,0.1374,0.4198,0.6641
7.861,-0.1438,0.0098,1.0327,0.229,0.6412,0.6412
7.881,-0.1418,0.0037,1.0266,0.2137,0.5267,0.6641
7.901,-0.1382,0.0073,1.0208,0.145,0.5267,0.6107
7.921,-0.1401,0.0059,1.0249,0.1756,0.5725,0.6336
7.941,-0.1401,0.0063,1.0208,0.2214,0.6107,0.6183
7.961,-0.1453,0.0039,1.0308,0.2061,0.7176,0.6718
7.981,-0.1458,0.0032,1.03,0.2366,0.5954,0.6947
8.001,-0.1428,0.0049,1.0293,0.1679,0.5496,0.7176
8.022,-0.1458,0.0046,1.0276,0.2519,0.626,0.7023
8.041,-0.1377,0.0046,1.0308,0.2595,0.5115,0.6641
8.061,-0.1448,0.0071,1.0244,0.1908,0.6031,0.626
8.081,-0.1436,0.0037,1.0332,0.2443,0.6412,0.6031
8.101,-0.1421,0.009,1.0208,0.2137,0.6031,0.5649
8.121,-0.1475,0.0039,1.0249,0.2595,0.542,0.7099
8.141,-0.1418,0.0034,1.0242,0.2519,0.5649,0.5573
8.161,-0.1428,0.0061,1.0249,0.1679,0.5573,0.5878
8.181,-0.1406,0.0063,1.0249,0.2901,0.5496,0.687
8.201,-0.1433,0.0044,1.0242,0.2595,0.6183,0.6947
8.221,-0.1414,0.0037,1.0283,0.0687,0.626,0.5649
8.241,-0.1389,0.0049,1.0298,0.2672,0.4733,0.7099
8.261,-0.1443,0.0022,1.0286,0.1069,0.687,0.6489
8.281,-0.1399,0.0029,1.0293,0.229,0.6336,0.6565
8.301,-0.1448,0.0115,1.0273,0.2214,0.4962,0.6641
8.321,-0.1399,0.0032,1.0312,0.2137,0.5115,0.6107
8.341,-0.1382,0.0063,1.0237,0.145,0.6031,0.6565
8.361,-0.1421,0.0076,1.0266,0.1985,0.542,0.6336
8.381,-0.1414,0.0066,1.0303,0.1527,0.5191,0.6489
8.401,-0.144,0.0071,1.0264,0.1832,0.5573,0.626
8.421,-0.1418,0.0049,1.0251,0.1985,0.6107,0.687
8.441,-0.1414,0.0037,1.0249,0.145,0.4504,0.6107
8.461,-0.1519,0.0066,1.0325,0.2137,0.5649,0.6107
8.481,-0.1387,0.0076,1.0193,0.2748,0.6107,0.6641
8.501,-0.1411,0.0029,1.0273,0.2137,0.4275,0.6412
8.521,-0.1482,0.0046,1.03,0.1756,0.6565,0.5954
8.541,-0.1404,0.0088,1.0222,0.2443,0.4885,0.5725
8.561,-0.144,0.0085,1.0293,0.2061,0.6565,0.6336
8.581,-0.1396,0.0049,1.0234,0.2595,0.6031,0.6718
8.601,-0.1431,0.0051,1.0232,0.1756,0.4962,0.7099
8.621,-0.1433,0.0046,1.0283,0.2366,0.6412,0.7099
8.641,-0.1421,0.0037,1.0242,0.2519,0.4504,0.626
8.662,-0.1462,0.0007,1.0271,0.2519,0.6565,0.6412
8.681,-0.1379,0.0024,1.0303,0.2137,0.5038,0.5954
8.701,-0.1438,0.0059,1.0281,0.2061,0.4809,0.5573
8.721,-0.1433,0.0049,1.0261,0.2061,0.5725,0.6336
8.741,-0.1406,0.0093,1.0288,0.2214,0.5115,0.6718
8.761,-0.1443,0.0022,1.0259,0.2137,0.5878,0.6489
8.781,-0.1379,0.0034,1.0254,0.1298,0.5725,0.687
8.801,-0.1445,0.0054,1.0254,0.2824,0.4351,0.5649
8.821,-0.1411,0.0042,1.0254,0.2366,0.6641,0.626
8.841,-0.1409,0.0063,1.0239,0.2824,0.458,0.6565
8.861,-0.145,0.0029,1.0322,0.2901,0.5649,0.5954
8.881,-0.1426,0.0017,1.0278,0.1374,0.6031,0.6031
8.901,-0.1421,0.0039,1.0264,0.2595,0.4885,0.626
8.921,-0.145,0.0037,1.0247,0.2519,0.5496,0.6336
8.941,-0.1411,0.0056,1.0276,0.2214,0.4885,0.6031
8.961,-0.1436,0.0088,1.0234,0.2824,0.6794,0.6718
8.981,-0.1387,0.0051,1.0269,0.2748,0.5725,0.6107
9.001,-0.1475,0.0029,1.0261,0.2443,0.4504,0.6031
9.021,-0.1443,0.0046,1.0256,0.1985,0.6947,0.6718
9.041,-0.1401,0.0085,1.019,0.1756,0.5191,0.6412
9.061,-0.1487,0.0012,1.022,0.2443,0.6718,0.6183
9.081,-0.1394,0.0032,1.0237,0.1832,0.5038,0.5573
9.101,-0.1443,0.0044,1.0291,0.1908,0.4427,0.5573
9.121,-0.1433,0.0073,1.0281,0.1527,0.5878,0.7405
9.141,-0.1404,0.0044,1.0242,0.1756,0.4962,0.6412
9.161,-0.1448,0.0012,1.03,0.2366,0.7176,0.6107
9.181,-0.1416,0.0037,1.0261,0.2137,0.7252,0.6794
9.201,-0.1445,0.0063,1.03,0.1069,0.5725,0.5954
9.221,-0.1465,0.0049,1.0286,0.1985,0.6031,0.6489
9.241,-0.1394,0.0049,1.0249,0.2061,0.4885,0.6031
9.261,-0.146,0.0051,1.0305,0.2977,0.5573,0.5954
9.281,-0.1396,0.0068,1.0286,0.1908,0.626,0.626
9.302,-0.1479,0.009,1.0249,0.2443,0.5344,0.6336
9.321,-0.1423,0.0105,1.0283,0.2519,0.5573,0.6183
9.341,-0.1428,0.0037,1.0334,0.1985,0.4809,0.6565
9.361,-0.1445,0.0042,1.0234,0.1756,0.6565,0.687
9.381,-0.1404,0.0081,1.0217,0.1298,0.5725,0.626
9.401,-0.1399,0.0046,1.0247,0.1527,0.4733,0.626
9.421,-0.1458,0.0085,1.0259,0.1985,0.6565,0.6107
9.441,-0.1404,0.0056,1.0293,0.1832,0.5115,0.7252
9.461,-0.1423,0.0056,1.0264,0.229,0.6641,0.6641
9.481,-0.1396,0.0034,1.0308,0.2595,0.5573,0.5802
9.501,-0.1455,0.0081,1.0249,0.2443,0.5725,0.6718
9.521,-0.1426,0.0051,1.0269,0.2519,0.6718,0.7557
9.541,-0.1375,0.0071,1.0273,0.1908,0.4885,0.6107
9.561,-0.1445,0.0046,1.0278,0.1221,0.4733,0.6947
9.581,-0.1392,0.0044,1.0325,0.2137,0.5649,0.5878
9.601,-0.1409,0.0061,1.0281,0.1985,0.4122,0.7405
9.621,-0.1431,0.0049,1.0286,0.1603,0.6718,0.7023
9.641,-0.1428,0.0056,1.0261,0.2137,0.4809,0.6107
9.661,-0.1472,0.0061,1.0303,0.2214,0.6183,0.5878
9.681,-0.1348,0.0081,1.0225,0.229,0.4885,0.6412
9.701,-0.1414,0.0049,1.0237,0.313,0.4962,0.6107
9.721,-0.1421,0.0078,1.0315,0.1832,0.687,0.6718
9.741,-0.1414,0.0081,1.0273,0.2137,0.4427,0.6336
9.761,-0.1462,0.0071,1.0312,0.1756,0.626,0.5573
9.781,-0.1438,0.0063,1.0256,0.2214,0.5115,0.5496
9.801,-0.1436,0.0049,1.0264,0.2214,0.5649,0.6183
9.821,-0.1438,0.0071,1.0261,0.2595,0.7023,0.4962
9.841,-0.1416,0.0071,1.0208,0.2137,0.458,0.7252
9.861,-0.1414,0.0068,1.0308,0.2366,0.7099,0.5573
9.881,-0.1421,0.0107,1.0271,0.1985,0.5954,0.5649
9.901,-0.1438,0.0054,1.0249,0.2748,0.542,0.7557
9.921,-0.1399,0.0078,1.03,0.1908,0.6031,0.5191
9.942,-0.1409,0.0039,1.0215,0.1145,0.4962,0.6412
9.961,-0.146,0.0032,1.0295,0.1527,0.5725,0.6641
9.981,-0.1379,0.01,1.0247,0.145,0.4885,0.6565
10.001,-0.1453,0.0063,1.0317,0.1985,0.5573,0.6031
10.021,-0.1382,0.0051,1.0303,0.2519,0.5267,0.5573
10.041,-0.1394,0.0081,1.0278,0.2061,0.4733,0.5649
10.061,-0.1458,0.0049,1.0295,0.1985,0.687,0.5878
10.081,-0.1377,0.0071,1.03,0.313,0.5878,0.7099
10.101,-0.1416,0.0068,1.0317,0.2137,0.4656,0.6947
10.121,-0.1455,0.0059,1.0232,0.2366,0.5802,0.5649
10.141,-0.1384,0.0083,1.0234,0.2137,0.458,0.6641
10.161,-0.1453,0.01,1.0273,0.2977,0.5191,0.542
10.181,-0.1396,0.0059,1.0269,0.1221,0.5802,0.6489
10.201,-0.1421,0.0083,1.0291,0.229,0.4962,0.6336
10.221,-0.1455,0.0046,1.0271,0.2595,0.6031,0.6565
10.241,-0.1399,0.0056,1.0281,0.1374,0.5802,0.5267
10.261,-0.1462,0.0044,1.022,0.1679,0.6718,0.687
10.281,-0.1418,0.0107,1.0227,0.2672,0.5878,0.6107
10.301,-0.1428,0.0051,1.0193,0.2137,0.4733,0.5878
10.321,-0.1418,0.0061,1.0303,0.1985,0.6412,0.6718
10.341,-0.1367,0.0073,1.0208,0.1985,0.5267,0.6947
10.361,-0.1487,0.0051,1.0264,0.2366,0.6412,0.5725
10.381,-0.1406,0.0022,1.0278,0.1985,0.5878,0.6336
10.401,-0.1443,0.0076,1.0305,0.3206,0.542,0.5344
10.421,-0.1436,0.0032,1.0293,0.2061,0.6183,0.6947
10.441,-0.1394,0.0044,1.0273,0.2519,0.458,0.6336
10.461,-0.147,0.0044,1.0251,0.1985,0.6336,0.7023
10.481,-0.1387,0.0078,1.0227,0.1908,0.4885,0.6412
10.501,-0.1394,0.0054,1.0278,0.2901,0.5573,0.6794
10.521,-0.1418,0.0046,1.0283,0.2901,0.6718,0.6183
10.541,-0.1416,0.0044,1.0247,0.2214,0.5878,0.6107
10.561,-0.1455,0.001,1.0276,0.1985,0.5038,0.6794
10.582,-0.1389,0.0024,1.0234,0.1603,0.6489,0.6336
10.601,-0.1443,0.0039,1.0203,0.1908,0.4198,0.6412
10.621,-0.146,0.0032,1.0261,0.1298,0.7481,0.5954
10.641,-0.1411,0.0066,1.0317,0.2672,0.626,0.6718
10.661,-0.1438,0.0046,1.0278,0.1221,0.626,0.5878
10.681,-0.1392,0.0066,1.0244,0.2519,0.6107,0.6107
10.701,-0.1458,0.0051,1.0237,0.2595,0.458,0.6641
10.721,-0.1462,0.0022,1.0312,0.1298,0.6489,0.5878
10.741,-0.1401,0.0037,1.0237,0.1603,0.4733,0.542
10.761,-0.146,0.0088,1.0239,0.145,0.6641,0.6107
10.781,-0.1406,0.0049,1.0244,0.229,0.6565,0.7252
10.801,-0.144,0.0002,1.0239,0.2366,0.5191,0.6641
10.821,-0.1396,0.0059,1.0229,0.1069,0.6794,0.5725
10.841,-0.1418,0.0042,1.0225,0.1908,0.5267,0.6183
10.861,-0.147,0.0044,1.0259,0.1985,0.6107,0.6107
10.881,-0.1392,0.0042,1.0271,0.1527,0.5191,0.5496
10.901,-0.1465,0.0066,1.0183,0.1603,0.4351,0.6183
10.921,-0.1438,0.0037,1.0261,0.1679,0.6565,0.6183
10.941,-0.1414,0.0051,1.0247,0.2061,0.4962,0.6412
10.961,-0.145,0.0071,1.0273,0.1374,0.6947,0.626
