ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,stdDevAX,DeltaTime,Angle,Drift Per Min
1.323,-0.1199,0.0171,1.0171,0.145,0.5496,0.5496,0.002068427,0.019,0.002755,9.133694792
1.342,-0.1191,0.0178,1.0212,0.1679,0.626,0.5954,,0.02,0.006113,
1.362,-0.1194,0.0164,1.0251,0.1679,0.5649,0.6183,,0.02,0.009471,
1.382,-0.116,0.0151,1.02,0.2137,0.5267,0.6718,,0.02,0.013745,
1.402,-0.1157,0.0171,1.0227,0.1756,0.4656,0.5725,,0.02,0.017257,
1.422,-0.1143,0.009,1.0186,0.2824,0.4962,0.6336,,0.02,0.022905,
1.442,-0.1216,0.0164,1.0159,0.1221,0.6794,0.6183,,0.02,0.025347,
1.462,-0.1128,0.0166,1.0193,0.2519,0.4656,0.6412,,0.02,0.030385,
1.482,-0.1177,0.0171,1.0237,0.1756,0.6565,0.5496,,0.02,0.033897,
1.502,-0.116,0.0183,1.0256,0.2214,0.5573,0.6489,,0.02,0.038325,
1.522,-0.1187,0.0168,1.0232,0.1832,0.5573,0.6336,,0.02,0.041989,
1.542,-0.1213,0.0156,1.0242,0.0534,0.5954,0.5038,,0.02,0.043057,
1.562,-0.1155,0.0183,1.0122,0.2214,0.6412,0.5954,,0.02,0.047485,
1.582,-0.1208,0.0132,1.0166,0.1679,0.5267,0.6412,,0.02,0.050843,
1.602,-0.1194,0.0159,1.0203,0.1069,0.5802,0.6183,,0.021,0.0530879,
1.623,-0.1165,0.0161,1.02,0.1908,0.5115,0.6183,,0.02,0.0569039,
1.643,-0.1194,0.0146,1.0198,0.1069,0.5191,0.6107,,0.021,0.0591488,
1.664,-0.1147,0.0154,1.0217,0.1374,0.4504,0.5496,,0.019,0.0617594,
1.683,-0.1169,0.0168,1.0161,0.1298,0.5115,0.6031,,0.02,0.0643554,
1.703,-0.114,0.0112,1.0181,0.1679,0.5573,0.6641,,0.02,0.0677134,
1.723,-0.1177,0.0137,1.0278,0.1679,0.5725,0.5954,,0.02,0.0710714,
1.743,-0.1187,0.0134,1.019,0.2061,0.5344,0.5649,,0.02,0.0751934,
1.763,-0.1174,0.0159,1.0229,0.2061,0.5573,0.5878,,0.02,0.0793154,
1.783,-0.1179,0.0164,1.0254,0.1832,0.5344,0.6565,,0.02,0.0829794,
1.803,-0.1223,0.0144,1.0195,0.1527,0.5496,0.6107,,0.02,0.0860334,
1.823,-0.1184,0.0156,1.0212,0.145,0.5115,0.5573,,0.02,0.0889334,
1.843,-0.1182,0.0144,1.0212,0.229,0.5878,0.6107,,0.02,0.0935134,
1.863,-0.1152,0.0139,1.0237,0.1298,0.542,0.7099,,0.02,0.0961094,
1.883,-0.1169,0.0154,1.0247,0.2214,0.5115,0.6336,,0.02,0.1005374,
1.903,-0.1118,0.0183,1.021,0.1756,0.4656,0.6412,,0.02,0.1040494,
1.923,-0.116,0.0151,1.0164,0.1756,0.5878,0.5496,,0.02,0.1075614,
1.943,-0.1189,0.0183,1.0212,0.2061,0.542,0.6794,,0.021,0.1118895,
1.964,-0.1157,0.0129,1.022,0.145,0.5878,0.5802,,0.02,0.1147895,
1.984,-0.1177,0.0161,1.0234,0.1298,0.4962,0.6412,,0.02,0.1173855,
2.004,-0.1172,0.0098,1.021,0.1374,0.5573,0.4885,,0.02,0.1201335,
2.024,-0.1169,0.0159,1.0161,0.1298,0.5954,0.6489,,0.02,0.1227295,
2.044,-0.1167,0.0173,1.0222,0.1756,0.5649,0.5573,,0.02,0.1262415,
2.064,-0.1179,0.0173,1.0234,0.1985,0.5191,0.5878,,0.02,0.1302115,
2.084,-0.1174,0.0127,1.0166,0.2443,0.5267,0.5725,,0.02,0.1350975,
2.104,-0.1147,0.0142,1.0273,0.0916,0.542,0.6412,,0.02,0.1369295,
2.124,-0.1174,0.0173,1.0203,0.2137,0.6107,0.4885,,0.02,0.1412035,
2.144,-0.1184,0.0188,1.0276,0.2137,0.5496,0.5802,,0.02,0.1454775,
2.164,-0.1196,0.0149,1.02,0.1221,0.4733,0.6565,,0.02,0.1479195,
2.184,-0.1184,0.0188,1.019,0.084,0.5344,0.6107,,0.02,0.1495995,
2.204,-0.1182,0.0188,1.0256,0.1603,0.6107,0.5954,,0.02,0.1528055,
2.224,-0.1177,0.0193,1.0181,0.1221,0.5954,0.6412,,0.02,0.1552475,
2.244,-0.1162,0.0125,1.0173,0.1145,0.6412,0.6412,,0.02,0.1575375,
2.264,-0.1157,0.0129,1.022,0.1603,0.6336,0.7099,,0.02,0.1607435,
2.284,-0.1133,0.0146,1.0261,0.1069,0.5267,0.5267,,0.021,0.1629884,
2.305,-0.1174,0.0137,1.0195,0.1374,0.6183,0.5802,,0.02,0.1657364,
2.325,-0.1162,0.0146,1.0254,0.1527,0.5115,0.6031,,0.02,0.1687904,
2.345,-0.1155,0.0132,1.0164,0.1374,0.5573,0.6336,,0.02,0.1715384,
2.365,-0.1167,0.0137,1.0183,0.2366,0.5649,0.626,,0.02,0.1762704,
2.385,-0.1184,0.0146,1.0247,0.1679,0.6183,0.5954,,0.02,0.1796284,
2.405,-0.1228,0.0154,1.0166,0.1679,0.5038,0.6336,,0.02,0.1829864,
2.425,-0.1196,0.0154,1.0212,0.0687,0.4809,0.626,,0.02,0.1843604,
2.445,-0.1152,0.0161,1.0217,0.229,0.5267,0.5878,,0.02,0.1889404,
2.465,-0.1189,0.0139,1.0188,0.1756,0.6107,0.5802,,0.02,0.1924524,
2.485,-0.1189,0.0166,1.021,0.1069,0.5496,0.6489,,0.02,0.1945904,
2.505,-0.115,0.0161,1.0261,0.2748,0.6031,0.6336,,0.02,0.2000864,
2.525,-0.1191,0.0156,1.0173,0.1298,0.4198,0.6412,,0.02,0.2026824,
2.545,-0.1199,0.0166,1.0237,0.1679,0.5573,0.5649,,0.02,0.2060404,
2.565,-0.1184,0.0156,1.0195,0.145,0.6107,0.626,,0.02,0.2089404,
2.585,-0.1187,0.0149,1.0229,0.1145,0.6794,0.6336,,0.02,0.2112304,
2.605,-0.1187,0.0127,1.0286,0.1832,0.5649,0.5954,,0.02,0.2148944,
2.625,-0.1165,0.0139,1.0139,0.1374,0.5573,0.687,,0.021,0.2177798,
2.646,-0.1172,0.0137,1.0229,0.1374,0.5802,0.6718,,0.019,0.2203904,
2.665,-0.1157,0.0188,1.0247,0.0458,0.5038,0.5344,,0.02,0.2213064,
2.685,-0.1152,0.0151,1.0168,0.0992,0.5649,0.6107,,0.02,0.2232904,
2.705,-0.116,0.0208,1.0227,0.229,0.4275,0.626,,0.02,0.2278704,
2.725,-0.1172,0.0149,1.0244,0.0763,0.5573,0.5725,,0.02,0.2293964,
2.745,-0.1194,0.0134,1.0164,0.1527,0.7099,0.6031,,0.02,0.2324504,
2.765,-0.114,0.0171,1.0205,0.1756,0.4885,0.5267,,0.02,0.2359624,
2.785,-0.1184,0.0173,1.0195,0.1374,0.6336,0.5649,,0.02,0.2387104,
2.805,-0.115,0.0183,1.0156,0.1679,0.5878,0.7099,,0.02,0.2420684,
2.825,-0.1206,0.0146,1.0229,0.1679,0.6107,0.5725,,0.02,0.2454264,
2.845,-0.1167,0.0183,1.0142,0.1756,0.5573,0.6489,,0.02,0.2489384,
2.865,-0.1162,0.0144,1.0205,0.1145,0.6183,0.5649,,0.02,0.2512284,
2.885,-0.115,0.0129,1.021,0.0763,0.4504,0.5038,,0.02,0.2527544,
2.905,-0.1165,0.0144,1.0264,0.1756,0.6489,0.5496,,0.02,0.2562664,
2.925,-0.1169,0.0151,1.0203,0.0992,0.5267,0.6412,,0.02,0.2582504,
2.945,-0.1187,0.0161,1.0251,0.1374,0.5115,0.5954,,0.02,0.2609984,
2.965,-0.1152,0.02,1.0181,0.1221,0.6336,0.5496,,0.02,0.2634404,
2.985,-0.1184,0.0151,1.0232,0.0382,0.5038,0.5878,,0.02,0.2642044,
3.005,-0.1155,0.0181,1.0188,0.1832,0.5496,0.6794,,0.02,0.2678684,
3.025,-0.1177,0.0146,1.0193,0.1221,0.5344,0.6641,,0.02,0.2703104,
3.045,-0.1155,0.0164,1.0256,0.1985,0.5267,0.5878,,0.02,0.2742804,
3.065,-0.116,0.0142,1.0164,0.2137,0.6336,0.5725,,0.02,0.2785544,
3.085,-0.1182,0.0149,1.0232,0.2672,0.6565,0.6641,,0.02,0.2838984,
3.105,-0.1211,0.0161,1.0215,0.1527,0.6107,0.6107,,0.02,0.2869524,
3.125,-0.1179,0.0161,1.0181,0.1832,0.5573,0.5954,,0.02,0.2906164,
3.145,-0.1145,0.0125,1.0239,0.1527,0.5267,0.6336,,0.02,0.2936704,
3.165,-0.1204,0.0171,1.0186,0.1527,0.5878,0.5649,,0.02,0.2967244,
3.185,-0.1187,0.0149,1.0181,0.1908,0.542,0.6107,,0.02,0.3005404,
3.205,-0.1177,0.0171,1.0261,0.2748,0.5191,0.6565,,0.02,0.3060364,
3.225,-0.1172,0.0142,1.0232,0.1221,0.5725,0.6031,,0.02,0.3084784,
3.245,-0.1182,0.0129,1.0215,0.2137,0.5878,0.6641,,0.02,0.3127524,
3.265,-0.1162,0.0132,1.0227,0.1985,0.4656,0.5267,,0.021,0.3169209,
3.286,-0.1162,0.0154,1.0176,0.2214,0.4962,0.5267,,0.019,0.3211275,
3.305,-0.1191,0.0168,1.021,0.1527,0.4809,0.5802,,0.02,0.3241815,
3.325,-0.1187,0.0122,1.0203,0.0916,0.5573,0.6489,,0.02,0.3260135,
3.345,-0.1147,0.0154,1.0217,0.0916,0.5496,0.5267,,0.02,0.3278455,
3.365,-0.1189,0.0144,1.0261,0.1985,0.5878,0.5191,,0.02,0.3318155,
3.385,-0.1189,0.0183,1.0254,0.1374,0.4656,0.5802,,0.02,0.3345635,
3.405,-0.1174,0.0181,1.0186,0.1527,0.6412,0.5344,,0.02,0.3376175,
3.425,-0.1184,0.0149,1.0249,0.1679,0.3664,0.626,,0.02,0.3409755,
3.445,-0.1169,0.0161,1.0232,0.1985,0.5267,0.5802,,0.02,0.3449455,
3.465,-0.1182,0.0144,1.0188,0.1832,0.4962,0.5725,,0.02,0.3486095,
3.485,-0.1155,0.0159,1.0261,0.1756,0.5191,0.6947,,0.02,0.3521215,
3.505,-0.1174,0.0166,1.0244,0.1374,0.5802,0.6718,,0.02,0.3548695,
3.525,-0.1179,0.0098,1.0159,0.1603,0.4885,0.5573,,0.02,0.3580755,
3.545,-0.1165,0.0115,1.019,0.1298,0.5496,0.6565,,0.02,0.3606715,
3.565,-0.1179,0.0105,1.0188,0.1985,0.5267,0.5573,,0.02,0.3646415,
3.585,-0.1211,0.0164,1.0222,0.2061,0.6565,0.5344,,0.02,0.3687635,
3.605,-0.1167,0.0171,1.02,0.0687,0.4962,0.6183,,0.02,0.3701375,
3.625,-0.1167,0.0156,1.0227,0.1985,0.5496,0.6565,,0.02,0.3741075,
3.645,-0.1189,0.0156,1.0251,0.0534,0.5573,0.6107,,0.02,0.3751755,
3.665,-0.1179,0.0176,1.0229,0.2214,0.5344,0.5267,,0.02,0.3796035,
3.685,-0.1165,0.0176,1.0217,0.1832,0.5191,0.6183,,0.02,0.3832675,
3.705,-0.1191,0.0156,1.0208,0.1603,0.6947,0.5878,,0.02,0.3864735,
3.725,-0.1162,0.0159,1.0198,0.1603,0.5344,0.5267,,0.02,0.3896795,
3.745,-0.1165,0.0159,1.0278,0.1908,0.5725,0.6641,,0.02,0.3934955,
3.765,-0.1196,0.0171,1.0229,0.2672,0.4733,0.6183,,0.02,0.3988395,
3.785,-0.1165,0.0112,1.0242,0.1603,0.5115,0.6412,,0.02,0.4020455,
3.805,-0.1184,0.0156,1.0215,0.1221,0.4351,0.6489,,0.02,0.4044875,
3.825,-0.1177,0.0137,1.0222,0.229,0.542,0.626,,0.02,0.4090675,
3.845,-0.1162,0.0178,1.0208,0.1832,0.4962,0.6412,,0.02,0.4127315,
3.865,-0.1213,0.0159,1.019,0.1603,0.5649,0.6183,,0.02,0.4159375,
3.885,-0.1208,0.0134,1.0203,0.084,0.6031,0.5649,,0.02,0.4176175,
3.905,-0.1208,0.0171,1.0215,0.1832,0.5649,0.5725,,0.021,0.4214647,
3.926,-0.1184,0.0227,1.0234,0.1069,0.5725,0.6031,,0.019,0.4234958,
3.945,-0.1177,0.02,1.0161,0.2824,0.3969,0.5344,,0.02,0.4291438,
3.965,-0.1182,0.0176,1.0264,0.1145,0.4733,0.6183,,0.02,0.4314338,
3.985,-0.1196,0.0164,1.0215,0.0916,0.5344,0.5802,,0.02,0.4332658,
4.005,-0.1204,0.0103,1.0181,0.084,0.5344,0.6336,,0.02,0.4349458,
4.025,-0.1187,0.0132,1.0173,0.1756,0.6947,0.687,,0.02,0.4384578,
4.045,-0.1194,0.0144,1.0227,0.0687,0.6641,0.6565,,0.02,0.4398318,
4.065,-0.1177,0.0168,1.0256,0.2366,0.5573,0.626,,0.02,0.4445638,
4.085,-0.1184,0.0122,1.0264,0.2519,0.5267,0.4656,,0.02,0.4496018,
4.105,-0.1165,0.0134,1.021,0.1985,0.5344,0.5802,,0.02,0.4535718,
4.125,-0.1196,0.0142,1.0183,0.1985,0.626,0.6183,,0.02,0.4575418,
4.145,-0.1167,0.0181,1.022,0.1298,0.4809,0.5878,,0.02,0.4601378,
4.165,-0.1182,0.0186,1.0193,0.1527,0.4962,0.6107,,0.02,0.4631918,
4.185,-0.1196,0.0195,1.0232,0.1985,0.5954,0.4885,,0.02,0.4671618,
4.205,-0.1174,0.0154,1.0215,0.0916,0.5267,0.5725,,0.02,0.4689938,
4.225,-0.1174,0.0156,1.0164,0.1298,0.4962,0.542,,0.02,0.4715898,
4.245,-0.1189,0.0144,1.019,0.1527,0.4427,0.5573,,0.02,0.4746438,
4.265,-0.1201,0.0164,1.0217,0.2901,0.6565,0.626,,0.02,0.4804458,
4.285,-0.1179,0.0156,1.0232,0.1679,0.5191,0.5496,,0.02,0.4838038,
4.305,-0.1169,0.0139,1.0242,0.2061,0.5496,0.7405,,0.02,0.4879258,
4.325,-0.1199,0.0127,1.0168,0.1756,0.5878,0.5954,,0.02,0.4914378,
4.345,-0.1201,0.0156,1.0229,0.0916,0.5115,0.6336,,0.02,0.4932698,
4.365,-0.1223,0.0164,1.0227,0.145,0.5191,0.5725,,0.02,0.4961698,
4.385,-0.1174,0.0146,1.0208,0.2519,0.5038,0.5649,,0.02,0.5012078,
4.405,-0.1189,0.0195,1.0217,0.0382,0.6031,0.6947,,0.02,0.5019718,
4.425,-0.1143,0.0146,1.0254,0.1374,0.4046,0.5954,,0.02,0.5047198,
4.445,-0.1174,0.019,1.0212,0.1374,0.5344,0.5954,,0.02,0.5074678,
4.465,-0.1196,0.0168,1.0227,0.145,0.6412,0.6107,,0.02,0.5103678,
4.485,-0.1206,0.0125,1.0203,0.1145,0.6107,0.5802,,0.02,0.5126578,
4.505,-0.1206,0.0137,1.0232,0.229,0.4504,0.6412,,0.02,0.5172378,
4.525,-0.1162,0.0154,1.0215,0.145,0.5191,0.5267,,0.02,0.5201378,
4.545,-0.1179,0.0137,1.0212,0.1221,0.5878,0.6183,,0.021,0.5227019,
4.566,-0.1187,0.0188,1.0229,0.1221,0.5115,0.5115,,0.019,0.5250218,
4.585,-0.1169,0.012,1.0237,0.2137,0.5649,0.626,,0.02,0.5292958,
4.605,-0.1191,0.0112,1.0264,0.1832,0.5649,0.5649,,0.02,0.5329598,
4.625,-0.1174,0.0127,1.0229,0.1374,0.5954,0.626,,0.02,0.5357078,
4.645,-0.1177,0.0173,1.0212,0.229,0.6031,0.6565,,0.02,0.5402878,
4.665,-0.1184,0.0171,1.0254,0.1298,0.5725,0.6641,,0.02,0.5428838,
4.685,-0.1179,0.0154,1.0271,0.0687,0.5267,0.5725,,0.02,0.5442578,
4.705,-0.116,0.0171,1.0212,0.2137,0.542,0.6794,,0.02,0.5485318,
4.725,-0.1187,0.0186,1.0244,0.1069,0.5191,0.6641,,0.02,0.5506698,
4.745,-0.1165,0.0166,1.0203,0.1985,0.6031,0.6718,,0.02,0.5546398,
4.765,-0.1133,0.0168,1.0146,0.1756,0.5115,0.5954,,0.02,0.5581518,
4.785,-0.1169,0.0144,1.0259,0.1985,0.6031,0.6794,,0.02,0.5621218,
4.805,-0.1201,0.0156,1.0251,0.2137,0.6794,0.5725,,0.02,0.5663958,
4.825,-0.1187,0.0137,1.0203,0.1908,0.5115,0.7023,,0.02,0.5702118,
4.845,-0.1155,0.0132,1.0291,0.1756,0.5725,0.6107,,0.02,0.5737238,
4.865,-0.1196,0.0161,1.019,0.1298,0.6489,0.5878,,0.02,0.5763198,
4.885,-0.1184,0.0161,1.0217,0.084,0.5038,0.6336,,0.02,0.5779998,
4.905,-0.1155,0.0181,1.0198,0.1298,0.5115,0.5649,,0.02,0.5805958,
4.925,-0.1165,0.0161,1.0215,0.2061,0.5878,0.6489,,0.02,0.5847178,
4.945,-0.1194,0.0164,1.0232,0.0763,0.4885,0.6336,,0.02,0.5862438,
4.965,-0.1191,0.0176,1.0234,0.1679,0.4198,0.5802,,0.02,0.5896018,
4.985,-0.1167,0.0164,1.0212,0.2061,0.7176,0.5725,,0.02,0.5937238,
5.005,-0.1228,0.0156,1.0225,0.145,0.4962,0.5344,,0.02,0.5966238,
5.025,-0.1189,0.0156,1.0266,0.1527,0.5649,0.6489,,0.02,0.5996778,
5.045,-0.1147,0.0154,1.0291,0.1527,0.4733,0.6183,,0.02,0.6027318,
5.065,-0.115,0.0127,1.0212,0.2137,0.4351,0.5191,,0.02,0.6070058,
5.085,-0.1182,0.0173,1.0173,0.0305,0.5267,0.5573,,0.02,0.6076158,
5.105,-0.1199,0.0142,1.0234,0.1221,0.5649,0.6031,,0.02,0.6100578,
5.125,-0.1167,0.0181,1.0242,0.1221,0.5649,0.687,,0.02,0.6124998,
5.145,-0.1135,0.0161,1.0178,0.1221,0.6641,0.6336,,0.02,0.6149418,
5.165,-0.1189,0.0154,1.0208,0.1908,0.6412,0.6183,,0.02,0.6187578,
5.185,-0.1179,0.0161,1.0217,0.145,0.5267,0.6947,,0.021,0.6218028,
5.206,-0.1157,0.0188,1.0198,0.1679,0.5649,0.5267,,0.019,0.6249929,
5.225,-0.1184,0.0129,1.0154,0.1679,0.5802,0.5573,,0.02,0.6283509,
5.245,-0.1182,0.0144,1.02,0.145,0.5649,0.6031,,0.02,0.6312509,
5.265,-0.1155,0.0168,1.0161,0.1832,0.5191,0.5725,,0.02,0.6349149,
5.285,-0.1199,0.019,1.0217,0.1832,0.5344,0.5954,,0.02,0.6385789,
5.305,-0.1167,0.02,1.0203,0.229,0.6641,0.5267,,0.02,0.6431589,
5.325,-0.1196,0.011,1.0188,0.0992,0.6412,0.626,,0.02,0.6451429,
5.345,-0.1194,0.0127,1.019,0.0611,0.4656,0.6565,,0.02,0.6463649,
5.365,-0.1165,0.0142,1.0161,0.145,0.5115,0.5878,,0.02,0.6492649,
5.385,-0.1169,0.0144,1.0203,0.1069,0.4885,0.5725,,0.02,0.6514029,
5.405,-0.1187,0.0161,1.0247,0.1908,0.5954,0.5802,,0.02,0.6552189,
5.425,-0.1179,0.0156,1.0239,0.1374,0.626,0.5878,,0.02,0.6579669,
5.445,-0.1155,0.0144,1.0198,0.2137,0.5649,0.6794,,0.02,0.6622409,
5.465,-0.1208,0.0159,1.0222,0.1985,0.5115,0.6489,,0.02,0.6662109,
5.485,-0.1145,0.0132,1.0195,0.1221,0.5496,0.5267,,0.02,0.6686529,
5.505,-0.1211,0.0127,1.0281,0.1527,0.5344,0.5649,,0.02,0.6717069,
5.525,-0.1187,0.0154,1.0212,0.2824,0.5496,0.7176,,0.02,0.6773549,
5.545,-0.1162,0.0176,1.0198,0.1985,0.5573,0.5649,,0.02,0.6813249,
5.565,-0.1157,0.0173,1.0195,0.1298,0.4504,0.5496,,0.02,0.6839209,
5.585,-0.1191,0.0125,1.0193,0.1145,0.5496,0.6336,,0.02,0.6862109,
5.605,-0.1152,0.0156,1.0176,0.1603,0.5878,0.5573,,0.02,0.6894169,
5.625,-0.1182,0.0151,1.0176,0.1069,0.4809,0.6183,,0.02,0.6915549,
5.645,-0.1187,0.0137,1.02,0.1527,0.4885,0.5496,,0.02,0.6946089,
5.665,-0.1182,0.0171,1.0239,0.1527,0.5038,0.6031,,0.02,0.6976629,
5.685,-0.1177,0.0137,1.0205,0.1679,0.458,0.6107,,0.02,0.7010209,
5.705,-0.1167,0.0159,1.0212,0.1832,0.5038,0.6336,,0.02,0.7046849,
5.725,-0.1174,0.0168,1.0239,0.1985,0.5573,0.626,,0.02,0.7086549,
5.745,-0.1167,0.0156,1.021,0.1298,0.5344,0.6565,,0.02,0.7112509,
5.765,-0.1208,0.0168,1.0242,0.2595,0.6412,0.7099,,0.02,0.7164409,
5.785,-0.1191,0.0142,1.0237,0.2443,0.5267,0.6336,,0.02,0.7213269,
5.805,-0.1162,0.0166,1.0212,0.1756,0.5344,0.6031,,0.02,0.7248389,
5.825,-0.1174,0.0178,1.0247,0.145,0.6183,0.6718,,0.021,0.7278839,
5.846,-0.1208,0.0171,1.0232,0.1527,0.458,0.5573,,0.019,0.7307852,
5.865,-0.1204,0.0146,1.0212,0.1374,0.5115,0.5573,,0.02,0.7335332,
5.885,-0.1143,0.012,1.0225,0.1679,0.5725,0.6794,,0.02,0.7368912,
5.905,-0.1199,0.0166,1.0188,0.1145,0.5878,0.5344,,0.02,0.7391812,
5.925,-0.1172,0.0168,1.0227,0.1985,0.5038,0.5802,,0.02,0.7431512,
5.945,-0.1199,0.0181,1.0203,0.1985,0.542,0.5573,,0.02,0.7471212,
5.965,-0.1135,0.0149,1.0234,0.1908,0.5573,0.6641,,0.02,0.7509372,
5.985,-0.1145,0.0164,1.0212,0.1603,0.5725,0.6107,,0.02,0.7541432,
6.005,-0.1162,0.0144,1.0193,0.0687,0.7099,0.5802,,0.02,0.7555172,
6.025,-0.1165,0.0151,1.021,0.1069,0.4885,0.5802,,0.02,0.7576552,
6.045,-0.1199,0.012,1.0208,0.1985,0.542,0.6412,,0.02,0.7616252,
