ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,stdDevAX
7.285,-0.1157,0.0112,1.0154,0.1298,0.5267,0.5954,
7.305,-0.1162,0.0156,1.0288,0.1145,0.4962,0.5954,
7.325,-0.1169,0.0142,1.0205,0.0687,0.5802,0.6336,
7.345,-0.1167,0.0125,1.0173,0.1527,0.5267,0.5802,
7.365,-0.1157,0.0132,1.0244,0.0611,0.4885,0.626,
7.385,-0.1169,0.0149,1.0215,0.2595,0.6107,0.6336,
7.405,-0.116,0.0134,1.0193,0.1832,0.5344,0.5038,
7.425,-0.114,0.0166,1.0278,0.1679,0.4962,0.626,
7.445,-0.1174,0.0166,1.0283,0.1374,0.4809,0.6336,
7.465,-0.1199,0.0154,1.0249,0.1221,0.687,0.626,
7.485,-0.1162,0.0112,1.0225,0.145,0.5191,0.5649,
7.505,-0.1145,0.0156,1.021,0.1756,0.5038,0.5115,
7.525,-0.1133,0.0127,1.0222,0.0534,0.5878,0.6107,
7.545,-0.1177,0.0115,1.022,0.1221,0.6183,0.5954,
7.565,-0.1177,0.0132,1.0161,0.1832,0.5344,0.4962,
7.585,-0.1191,0.0144,1.0225,0.145,0.6641,0.542,
7.605,-0.1179,0.0171,1.0237,0.2748,0.5649,0.5267,
7.625,-0.1155,0.0168,1.0205,0.1374,0.6031,0.626,
7.645,-0.1174,0.0151,1.0237,0.1221,0.5191,0.5878,
7.665,-0.1184,0.0173,1.0244,0.0992,0.5573,0.6489,
7.685,-0.1165,0.0156,1.0227,0.2137,0.5725,0.5649,
7.705,-0.1147,0.0156,1.0273,0.1298,0.4733,0.6718,
7.725,-0.1174,0.0132,1.0149,0.1527,0.6107,0.5649,
7.745,-0.1199,0.0166,1.0227,0.1832,0.5115,0.4962,
7.766,-0.116,0.0142,1.0234,0.0916,0.6107,0.6489,
7.785,-0.1147,0.0164,1.02,0.1756,0.5191,0.5725,
7.805,-0.1162,0.0151,1.0212,0.1298,0.5954,0.7023,
7.825,-0.1172,0.0127,1.0203,0.1603,0.6031,0.4885,
7.845,-0.1177,0.0142,1.0198,0.0382,0.5573,0.5573,
7.865,-0.1194,0.0132,1.0247,0.1527,0.5725,0.6947,
7.885,-0.114,0.019,1.0229,0.084,0.6794,0.6336,
7.905,-0.1172,0.0154,1.0239,0.1374,0.626,0.5344,
7.925,-0.1155,0.0183,1.0183,0.0687,0.542,0.6031,
7.945,-0.1191,0.0166,1.0186,0.084,0.4122,0.5115,
7.965,-0.1189,0.0144,1.0173,0.1756,0.4656,0.6031,
7.985,-0.1206,0.0144,1.0239,0.2061,0.542,0.5649,
8.005,-0.1179,0.0164,1.0183,0.1374,0.4351,0.6489,
8.025,-0.1167,0.0144,1.0188,0.1145,0.5573,0.5802,
8.045,-0.1155,0.0168,1.021,0.2443,0.6107,0.6336,
8.065,-0.1213,0.0166,1.0229,0.1908,0.6565,0.5344,
8.085,-0.1182,0.0139,1.022,0.2443,0.5954,0.5115,
8.105,-0.1199,0.0139,1.0181,0.0992,0.5725,0.6107,
8.125,-0.1216,0.0154,1.0195,0.1756,0.687,0.6489,
8.145,-0.1155,0.0127,1.0183,0.1221,0.4885,0.6107,
8.165,-0.1167,0.0154,1.0164,0.1756,0.5191,0.6412,
8.185,-0.1167,0.0127,1.0193,0.1298,0.4962,0.687,
8.205,-0.1199,0.0142,1.0171,0.1298,0.5573,0.5496,
8.225,-0.1155,0.0166,1.0229,0.145,0.542,0.6718,
8.245,-0.1165,0.0154,1.0171,0.1145,0.542,0.5191,
8.265,-0.1169,0.0156,1.019,0.1985,0.687,0.6336,
8.285,-0.1179,0.0168,1.0188,0.1374,0.5649,0.626,
8.305,-0.1174,0.0154,1.0281,0.1374,0.5496,0.5649,
8.325,-0.1143,0.0134,1.0234,0.145,0.5344,0.6336,
8.345,-0.1147,0.0178,1.0293,0.1985,0.6183,0.5802,
8.365,-0.1189,0.0166,1.0247,0.145,0.5725,0.6107,
8.385,-0.1179,0.0146,1.0198,0.1603,0.5038,0.6336,
8.406,-0.1194,0.0168,1.0237,0.2137,0.4885,0.5878,
8.425,-0.1213,0.0159,1.0188,0.1756,0.6641,0.5191,
8.445,-0.1184,0.019,1.0227,0.229,0.5115,0.6183,
8.465,-0.1211,0.0208,1.0234,0.1374,0.5115,0.626,
8.485,-0.1182,0.0168,1.0205,0.1527,0.687,0.6565,
8.505,-0.1169,0.0198,1.0178,0.1832,0.4885,0.4656,
8.525,-0.1143,0.0142,1.0183,0.1374,0.5878,0.5649,
8.545,-0.1199,0.0139,1.0134,0.1908,0.5038,0.5725,
8.565,-0.1169,0.0151,1.0227,0.1832,0.6183,0.5267,
8.585,-0.1184,0.0166,1.0186,0.1221,0.4733,0.5649,
8.605,-0.113,0.0156,1.0237,0.1527,0.6107,0.687,
8.625,-0.1191,0.0134,1.0264,0.229,0.5573,0.5344,
8.645,-0.1189,0.0156,1.0244,0.0992,0.6641,0.7481,
8.665,-0.1165,0.0183,1.0205,0.1908,0.5878,0.6336,
8.685,-0.115,0.0171,1.0222,0.1145,0.5725,0.5802,
8.705,-0.1204,0.0173,1.0159,0.1145,0.5802,0.5878,
8.725,-0.1196,0.019,1.0266,0.2443,0.6489,0.5115,
8.745,-0.1169,0.0117,1.0193,0.1985,0.626,0.6183,
8.765,-0.1162,0.0166,1.0168,0.1374,0.5649,0.5573,
8.785,-0.116,0.0154,1.0205,0.0763,0.542,0.5267,
8.805,-0.1179,0.0149,1.0237,0.1756,0.4962,0.6489,
8.825,-0.1167,0.0161,1.0208,0.1374,0.6107,0.7099,
8.845,-0.1165,0.0127,1.0234,0.1603,0.6489,0.6489,
8.865,-0.1157,0.0146,1.0176,0.0916,0.6107,0.6794,
8.885,-0.1177,0.0164,1.0198,0.0992,0.5344,0.5954,
8.905,-0.1167,0.0134,1.0254,0.145,0.4656,0.6718,
8.925,-0.1194,0.0117,1.019,0.084,0.6947,0.6565,
8.945,-0.1177,0.0144,1.022,0.1832,0.5649,0.5496,
8.965,-0.1174,0.0132,1.0212,0.2137,0.6489,0.542,
8.985,-0.1211,0.0156,1.0212,0.1908,0.5115,0.6183,
9.005,-0.1162,0.0151,1.0264,0.1756,0.4275,0.6718,
9.025,-0.1116,0.0146,1.0208,0.2137,0.4885,0.6489,
9.046,-0.1167,0.0183,1.0161,0.1832,0.5954,0.6947,
9.065,-0.1226,0.0149,1.0156,0.1603,0.4733,0.5802,
9.085,-0.1191,0.0164,1.0227,0.2595,0.5115,0.5191,
9.105,-0.1172,0.0161,1.0239,0.1298,0.4656,0.6107,
9.125,-0.1177,0.011,1.0251,0.1145,0.5038,0.5267,
9.145,-0.114,0.0139,1.0222,0.1145,0.4504,0.6107,
9.165,-0.1162,0.0186,1.0205,0.1603,0.6031,0.6641,
9.185,-0.1167,0.0166,1.0212,0.0916,0.5725,0.5649,
9.205,-0.1167,0.0168,1.0178,0.1374,0.5038,0.6183,
9.225,-0.116,0.0156,1.0229,0.1832,0.4733,0.6183,
9.245,-0.1177,0.0181,1.0193,0.1374,0.5191,0.6794,
9.265,-0.1169,0.0166,1.0176,0.0687,0.4962,0.626,
9.285,-0.1167,0.0142,1.0178,0.0916,0.5725,0.6489,
9.305,-0.1177,0.0173,1.0168,0.1298,0.5344,0.5649,
9.325,-0.1145,0.0168,1.0256,0.1145,0.5802,0.626,
9.345,-0.1174,0.0168,1.0217,0.1603,0.5802,0.687,
9.365,-0.1155,0.0176,1.0166,0.1985,0.542,0.6489,
9.385,-0.1179,0.0154,1.0254,0.1527,0.542,0.6183,
9.405,-0.1187,0.0129,1.0225,0.2137,0.2824,0.5954,
9.425,-0.1157,0.0125,1.0286,0.1374,0.542,0.5344,
9.445,-0.1189,0.0098,1.0186,0.2061,0.5878,0.5802,
9.465,-0.1189,0.0168,1.0203,0.1832,0.626,0.542,
9.485,-0.1179,0.0146,1.0222,0.0763,0.6183,0.6794,
9.505,-0.115,0.0159,1.0227,0.1069,0.4962,0.626,
9.525,-0.1135,0.0154,1.021,0.084,0.5038,0.5802,
9.545,-0.1174,0.0159,1.0229,0.1527,0.542,0.5649,
9.565,-0.1196,0.0164,1.0217,0.0763,0.5573,0.5725,
9.585,-0.1155,0.0151,1.0186,0.2061,0.6412,0.5649,
9.605,-0.1211,0.0154,1.0176,0.0382,0.5191,0.6565,
9.625,-0.1179,0.0151,1.021,0.1679,0.6336,0.6107,
9.645,-0.1226,0.0154,1.0205,0.1679,0.5573,0.5573,
9.665,-0.1143,0.0183,1.0281,0.1756,0.5954,0.6183,
9.686,-0.1152,0.0159,1.0239,0.0992,0.4733,0.5496,
9.705,-0.115,0.0156,1.0146,0.1298,0.5649,0.5267,
9.725,-0.1189,0.0139,1.0198,0.1145,0.5725,0.626,
9.745,-0.116,0.0144,1.0215,0.1679,0.5344,0.6183,
9.765,-0.1189,0.0149,1.0198,0.1221,0.5725,0.6412,
9.785,-0.1174,0.0159,1.0239,0.1908,0.4656,0.5573,
9.805,-0.1201,0.0159,1.0168,0.0916,0.458,0.6794,
9.825,-0.1157,0.0186,1.0232,0.1832,0.5496,0.6641,
9.845,-0.1221,0.0164,1.0203,0.1145,0.5267,0.7099,
9.865,-0.1174,0.0171,1.0146,0.1145,0.6031,0.6107,
9.885,-0.1174,0.0132,1.022,0.1985,0.6565,0.6718,
9.905,-0.1165,0.0151,1.022,0.0687,0.5802,0.6107,
9.925,-0.1199,0.0134,1.0222,0.1527,0.6336,0.626,
9.945,-0.1174,0.0166,1.0205,0.145,0.5725,0.5267,
9.965,-0.1194,0.0164,1.0173,0.1679,0.5725,0.6031,
9.985,-0.1169,0.0164,1.0222,0.145,0.4962,0.626,
10.005,-0.1182,0.0117,1.0266,0.1069,0.5038,0.626,
10.025,-0.1189,0.0159,1.0227,0.0992,0.626,0.6031,
10.045,-0.1147,0.0156,1.0181,0.1298,0.5649,0.5267,
10.065,-0.1147,0.0183,1.0256,0.1985,0.6107,0.6336,
10.085,-0.1206,0.0151,1.0249,0.1221,0.5725,0.5115,
10.105,-0.1152,0.0112,1.0217,0.0992,0.5573,0.6336,
10.125,-0.1184,0.0168,1.0222,0.1527,0.6107,0.6565,
10.145,-0.1196,0.0164,1.0254,0.145,0.5573,0.7099,
10.165,-0.1189,0.0139,1.0215,0.0992,0.5496,0.6336,
10.185,-0.1199,0.0134,1.0154,0.084,0.5115,0.5191,
10.205,-0.1196,0.0154,1.0249,0.145,0.5191,0.626,
10.225,-0.1172,0.0186,1.0168,0.2519,0.5802,0.626,
10.245,-0.1204,0.0146,1.0178,0.2137,0.5496,0.6794,
10.265,-0.1167,0.0139,1.0225,0.1679,0.5038,0.5573,
10.285,-0.1174,0.0134,1.0198,0.145,0.6336,0.5725,
10.305,-0.1162,0.0127,1.0171,0.1221,0.5573,0.5725,
10.326,-0.1172,0.0188,1.0227,0.2214,0.4885,0.5573,
10.345,-0.1169,0.0151,1.0149,0.1832,0.6107,0.5802,
10.365,-0.1165,0.012,1.0166,0.0992,0.4427,0.6489,
10.385,-0.1187,0.0129,1.0298,0.2214,0.5267,0.6489,
10.405,-0.1182,0.0144,1.0164,0.1603,0.6336,0.4656,
10.425,-0.1189,0.0146,1.0193,0.1832,0.542,0.542,
10.445,-0.1199,0.0193,1.0229,0.145,0.5573,0.6565,
10.465,-0.1157,0.0188,1.0251,0.0992,0.6412,0.6031,
10.485,-0.1128,0.0146,1.0234,0.1908,0.4885,0.6031,
10.505,-0.1179,0.0181,1.0261,0.1756,0.5191,0.5878,
10.525,-0.1147,0.0127,1.0168,0.1679,0.542,0.5802,
10.545,-0.1196,0.0144,1.0176,0.1679,0.4351,0.5267,
10.565,-0.1189,0.0173,1.0222,0.084,0.5573,0.626,
10.585,-0.1194,0.0166,1.0215,0.2137,0.4809,0.6641,
10.605,-0.1179,0.0171,1.0249,0.1298,0.6031,0.6412,
10.625,-0.1179,0.0149,1.0217,0.0534,0.5878,0.5802,
10.645,-0.1179,0.019,1.0247,0.084,0.6031,0.6794,
10.665,-0.1238,0.0164,1.0195,0.1298,0.6031,0.6794,
10.685,-0.1145,0.0115,1.0212,0.2214,0.5725,0.7099,
10.705,-0.1179,0.0122,1.0205,0.084,0.5725,0.6031,
10.725,-0.1155,0.0166,1.0225,0.2061,0.5573,0.5802,
10.745,-0.1179,0.0203,1.0249,0.1908,0.5649,0.6107,
10.765,-0.1143,0.0168,1.0217,0.1527,0.5038,0.5725,
10.785,-0.1157,0.0144,1.0212,0.1756,0.5496,0.6565,
10.805,-0.1121,0.0117,1.0222,0.1298,0.5954,0.6183,
10.825,-0.115,0.0151,1.0225,0.0687,0.4885,0.5725,
10.845,-0.1174,0.0146,1.0225,0.1908,0.6565,0.6107,
10.865,-0.1174,0.0161,1.0205,0.2443,0.5115,0.6412,
10.885,-0.1177,0.0164,1.0208,0.1527,0.5573,0.5954,
10.905,-0.1152,0.0144,1.0171,0.1527,0.5496,0.6412,
10.925,-0.1191,0.0173,1.0327,0.0534,0.6336,0.5649,
10.945,-0.1169,0.0188,1.0227,0.1679,0.5038,0.626,
10.966,-0.1162,0.0139,1.0181,0.2443,0.4656,0.6489,
10.985,-0.1191,0.0188,1.0198,0.1832,0.5725,0.5954,
11.005,-0.1179,0.0122,1.0193,0.0229,0.4885,0.6947,
11.025,-0.1204,0.0168,1.0173,0.229,0.5802,0.6107,
11.045,-0.1196,0.0198,1.0261,0.0611,0.6031,0.6565,
11.065,-0.1162,0.0159,1.0217,0.084,0.5725,0.6183,
11.085,-0.1155,0.0159,1.0239,0.1679,0.626,0.5573,
11.105,-0.1174,0.0193,1.0244,0.1527,0.7099,0.542,
11.125,-0.1187,0.0159,1.0232,0.2061,0.4733,0.6489,
11.145,-0.116,0.0161,1.0286,0.0611,0.6183,0.6412,
11.165,-0.1162,0.0164,1.0278,0.0687,0.5344,0.5573,
11.185,-0.1172,0.012,1.0293,0.3359,0.4427,0.5725,
11.205,-0.1204,0.0154,1.0198,0.0916,0.5038,0.626,
11.225,-0.1167,0.0205,1.0217,0.2366,0.5191,0.7176,
11.245,-0.1116,0.0149,1.0229,0.1908,0.5496,0.7634,
11.265,-0.1147,0.0154,1.0186,0.2672,0.6031,0.6107,
11.285,-0.1182,0.0161,1.0186,0.1527,0.5267,0.5573,
11.305,-0.1165,0.0193,1.0283,0.1374,0.4427,0.5344,
11.325,-0.116,0.0168,1.0205,0.0992,0.4809,0.626,
11.345,-0.1179,0.0137,1.0256,0.2137,0.5496,0.6107,
11.365,-0.1152,0.0134,1.0232,0.1298,0.5725,0.6031,
11.385,-0.1208,0.0134,1.0232,0.1832,0.5725,0.5954,
11.405,-0.1191,0.0154,1.0183,0.0992,0.5496,0.6412,
11.425,-0.1213,0.0166,1.0168,0.1221,0.5038,0.6031,
11.445,-0.1191,0.0159,1.0254,0.1985,0.5649,0.6794,
11.465,-0.1174,0.0154,1.022,0.1221,0.5649,0.626,
11.485,-0.1213,0.0142,1.0225,0.1603,0.6031,0.6107,
11.505,-0.1172,0.0171,1.0198,0.1756,0.4962,0.5649,
11.525,-0.115,0.0154,1.0229,0.229,0.4809,0.6489,
11.545,-0.1182,0.0161,1.0205,0.1069,0.5573,0.6031,
11.565,-0.114,0.0159,1.0222,0.145,0.5496,0.6183,
11.585,-0.1211,0.0149,1.0195,0.2595,0.4885,0.6565,
11.606,-0.1189,0.02,1.0176,0.0763,0.6718,0.6183,
11.625,-0.116,0.0122,1.0198,0.2061,0.5344,0.5954,
11.645,-0.1226,0.0176,1.0237,0.145,0.5725,0.6336,
11.665,-0.1177,0.0146,1.0151,0.1221,0.5267,0.7634,
11.685,-0.1177,0.0146,1.0249,0.2214,0.5115,0.5954,
11.705,-0.1162,0.0095,1.0242,0.1679,0.4504,0.6794,
11.725,-0.1179,0.009,1.0212,0.0534,0.542,0.542,
11.745,-0.1172,0.0117,1.0188,0.229,0.5496,0.6489,
11.765,-0.1157,0.0125,1.0264,0.2214,0.5878,0.626,
11.785,-0.1145,0.0203,1.019,0.1298,0.5267,0.5802,
11.805,-0.1172,0.0186,1.0249,0.0992,0.458,0.6489,
11.825,-0.1221,0.0171,1.0208,0.1069,0.6336,0.4809,
11.845,-0.1201,0.0142,1.0242,0.1603,0.4656,0.6031,
11.865,-0.1204,0.0166,1.0254,0.1603,0.5878,0.5344,
11.885,-0.116,0.0146,1.0137,0.1908,0.5191,0.626,
11.905,-0.1165,0.0151,1.0198,0.0992,0.4427,0.5573,
11.925,-0.1157,0.0154,1.0234,0.1832,0.5725,0.6183,
11.945,-0.1184,0.0115,1.0161,0.0763,0.5649,0.5725,
11.965,-0.1162,0.0146,1.0249,0.2519,0.4809,0.5573,
11.985,-0.1177,0.012,1.0208,0.1145,0.4733,0.5878,
12.005,-0.1201,0.0103,1.0208,0.1069,0.5954,0.6107,
12.025,-0.1201,0.0161,1.0198,0.1908,0.5038,0.5573,
12.045,-0.1128,0.0166,1.019,0.1527,0.5878,0.7634,
12.065,-0.1162,0.0151,1.0198,0.145,0.4733,0.6107,
12.085,-0.1184,0.0156,1.019,0.0992,0.5725,0.5573,
12.105,-0.1145,0.0217,1.0229,0.1985,0.4885,0.687,
12.125,-0.1177,0.0146,1.0212,0.1527,0.542,0.6336,
12.145,-0.1169,0.0144,1.0171,0.1679,0.5649,0.5802,
12.165,-0.1201,0.0176,1.0249,0.2137,0.6565,0.5878,
12.185,-0.1167,0.0171,1.0283,0.1527,0.5191,0.6641,
12.205,-0.1191,0.0181,1.0181,0.2595,0.5115,0.6412,
12.225,-0.1162,0.0137,1.0203,0.1374,0.4427,0.6565,
12.246,-0.1187,0.0159,1.0195,0.0382,0.626,0.687,
12.265,-0.1165,0.01,1.0171,0.145,0.6183,0.6183,
12.285,-0.1118,0.0137,1.021,0.2366,0.5038,0.5496,
12.305,-0.1165,0.0144,1.0215,0.0916,0.4809,0.5725,
12.325,-0.1172,0.0159,1.0193,0.1679,0.5191,0.6412,
12.345,-0.1169,0.0173,1.0266,0.1603,0.5649,0.5802,
12.365,-0.1189,0.0154,1.0203,0.145,0.5038,0.5878,
12.385,-0.114,0.0151,1.0198,0.2366,0.5115,0.6183,
12.405,-0.1187,0.0178,1.0203,0.1985,0.5802,0.7023,
12.425,-0.1184,0.0188,1.0212,0.1756,0.5344,0.5878,
12.445,-0.1189,0.0156,1.0232,0.1679,0.6336,0.687,
12.465,-0.1165,0.0149,1.0237,0.1908,0.5115,0.5802,
12.485,-0.1152,0.0151,1.0164,0.1756,0.5344,0.5573,
12.505,-0.114,0.0156,1.0249,0.1603,0.5344,0.6641,
12.525,-0.1147,0.011,1.0193,0.1374,0.5191,0.5649,
12.545,-0.1155,0.0122,1.0232,0.1679,0.5878,0.5878,
12.565,-0.1204,0.0168,1.0181,0.1145,0.5344,0.6565,
12.585,-0.1162,0.0156,1.0205,0.1221,0.5802,0.5954,
12.605,-0.1157,0.0151,1.0164,0.1832,0.5725,0.6336,
12.625,-0.115,0.0164,1.0134,0.1908,0.6565,0.6336,
12.645,-0.1152,0.0168,1.0227,0.0916,0.5802,0.6336,
12.665,-0.1169,0.0139,1.0237,0.0916,0.5191,0.6412,
12.685,-0.1213,0.0193,1.0186,0.1985,0.5038,0.5573,
12.705,-0.1174,0.0183,1.019,0.1221,0.5344,0.458,
12.725,-0.1162,0.0129,1.0234,0.1756,0.4656,0.5954,
12.745,-0.1147,0.0178,1.0239,0.1527,0.7099,0.5802,
12.765,-0.1162,0.0146,1.0229,0.1603,0.542,0.6641,
12.785,-0.1184,0.0137,1.0205,0.2366,0.5573,0.6565,
12.805,-0.115,0.0151,1.0286,0.084,0.5191,0.5344,
12.825,-0.1206,0.0139,1.0232,0.1603,0.4809,0.5954,
12.845,-0.1179,0.0154,1.0198,0.2137,0.6336,0.626,
12.865,-0.1177,0.0146,1.0198,0.1603,0.5191,0.5878,
12.886,-0.1179,0.019,1.0195,0.1374,0.5267,0.5649,
12.905,-0.116,0.0164,1.0208,0.1832,0.6565,0.5954,
12.925,-0.1182,0.0168,1.0237,0.2137,0.4809,0.5802,
12.945,-0.1196,0.0171,1.0217,0.2519,0.4962,0.5878,
12.965,-0.1169,0.0181,1.0239,0.1832,0.5878,0.6107,
12.985,-0.1182,0.0164,1.021,0.1985,0.5649,0.5954,
13.005,-0.1172,0.0146,1.0195,0.1985,0.5267,0.6641,
13.025,-0.1208,0.0154,1.02,0.1908,0.6794,0.6641,
13.045,-0.1145,0.0154,1.0171,0.0992,0.5115,0.6031,
13.065,-0.1184,0.0164,1.0237,0.1756,0.542,0.5802,
13.085,-0.1191,0.0125,1.021,0.1298,0.5802,0.6183,
13.105,-0.1165,0.0137,1.0276,0.1069,0.5496,0.5954,
13.125,-0.1152,0.0115,1.0208,0.0763,0.4962,0.5954,
13.145,-0.1152,0.0188,1.0139,0.1374,0.5267,0.6183,
13.165,-0.115,0.02,1.0203,0.0687,0.5878,0.5878,
13.185,-0.1187,0.0183,1.0168,0.0916,0.5496,0.6489,
13.205,-0.115,0.0178,1.0137,0.1527,0.6107,0.6565,
